CELL_ID,SCGP
1,0
2,-1
3,1
4,1
5,1
6,2
7,0
8,2
9,1
10,0
11,0
12,0
13,1
14,2
15,4
16,1
17,4
18,4
19,4
20,0
21,0
22,4
23,0
24,0
25,0
26,1
27,4
28,0
29,0
30,4
31,4
32,0
33,1
34,1
35,0
36,4
37,0
38,0
39,1
40,0
41,1
42,4
43,1
44,0
45,1
46,1
47,4
48,0
49,0
50,1
51,1
52,4
53,0
54,4
55,0
56,2
57,0
58,0
59,0
60,4
61,0
62,1
63,1
64,0
65,2
66,4
67,4
68,4
69,1
70,0
71,1
72,4
73,1
74,1
75,1
76,0
77,4
78,4
79,0
80,0
81,4
82,4
83,0
84,2
85,1
86,4
87,0
88,4
89,0
90,4
91,0
92,2
93,4
94,1
95,0
96,4
97,0
98,1
99,0
100,0
101,0
102,4
103,0
104,4
105,0
106,4
107,1
108,0
109,4
110,0
111,2
112,4
113,0
114,0
115,1
116,4
117,4
118,0
119,1
120,1
121,4
122,1
123,4
124,0
125,1
126,1
127,0
128,1
129,1
130,2
131,1
132,1
133,1
134,4
135,0
136,2
137,0
138,4
139,0
140,0
141,1
142,2
143,0
144,0
145,0
146,0
147,2
148,0
149,0
150,1
151,4
152,4
153,4
154,0
155,0
156,2
157,1
158,4
159,4
160,0
161,0
162,4
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,4
171,0
172,1
173,1
174,1
175,1
176,4
177,0
178,1
179,4
180,1
181,4
182,4
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,4
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,4
201,0
202,0
203,0
204,0
205,0
206,1
207,4
208,4
209,4
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,4
218,0
219,1
220,0
221,0
222,4
223,4
224,0
225,4
226,1
227,1
228,4
229,4
230,4
231,4
232,4
233,0
234,4
235,0
236,4
237,1
238,0
239,0
240,0
241,1
242,4
243,0
244,0
245,0
246,4
247,4
248,4
249,0
250,4
251,1
252,1
253,1
254,1
255,1
256,4
257,1
258,0
259,0
260,1
261,0
262,1
263,4
264,0
265,4
266,1
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,1
275,1
276,4
277,0
278,1
279,0
280,1
281,4
282,4
283,1
284,0
285,0
286,1
287,1
288,4
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,2
311,0
312,1
313,4
314,0
315,0
316,0
317,0
318,1
319,4
320,1
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,2
350,0
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,0
411,1
412,0
413,0
414,1
415,1
416,0
417,1
